synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|s. yhd.|avoinsuu|avuun/suu|разиня, ротозей|avosuu|||||||||
|v. refl.|azettudakse|azetu/dakse, -ze, -ihe(ze)|останавливаться|pysähdellä|||||||||
bakk|s.|bačk|bačk, -an, -ad|бак|nestesäiliö|||||||||
sulgboll |s.|badminton|badminton, -an, -ad|бадмитон|sulkapallo|||||||||
matktavarad|s.|bagaž|bagaž, -an, -ad; -uun, -uud|багаж|pakaasi, matkatavarat|||||||||
|s.|bagr|bagr, -an, -ad; -uun, -uud|багор|haka|bagruul l'esnuod ajataze (KTK)|баграми лес гонят|hakoja käytetään puutavaran uitossa||||||
pardenajo, pera, splava|s.|lesnoi|(Js) l'esnuo, -n, -d|лесосплав, сплав леса|puutavaran uitto, puutavara|(Js) kevädel ajet'ihe l'esnuod (OF)|весной сплавляют лес|keväällä uitettiin puutavaraa||||||
|s.|lesnoi||||bagruul l'esnuod ajataze (KTK)|баграми лес гонят|hakoja käytetään puutavaran uitossa||||||
|s.|lesnoi||||(Js) minun bratan kävel' l'esnuohe kaševaraks (OF)|мой двоюродный брат ходил на сплав леса кашеваром|minun serkkuni kävi puutavaran uitossa puuronkeittäjänä||||||
keväz|adv.|kevädel||||(Js) kevädel ajet'ihe l'esnuod (OF)|весной сплавляют лес|keväällä uitettiin puutavaraa||||||
|v.|ajada||||(Js) kevädel ajet'ihe l'esnuod (OF)|весной сплавляют лес|keväällä uitettiin puutavaraa||||||
|v.|ajada||||bagruul l'esnuod ajataze (KTK)|баграми лес гонят|hakoja käytetään puutavaran uitossa||||||
|s.|bratan|bratan, -an, -ad; -uun, -uud|двоюродный брат |serkku, miesserkku|(Js) minun bratan kävel' l'esnuohe kaševaraks (OF)|мой двоюродный брат ходил на сплав леса кашеваром|minun serkkuni kävi puutavaran uitossa puuronkeittäjänä||||||
|v. frekv.|kävelta||||(Js) minun bratan kävel' l'esnuohe kaševaraks (OF)|мой двоюродный брат ходил на сплав леса кашеваром|minun serkkuni kävi puutavaran uitossa puuronkeittäjänä||||||
pudronkeittaj|s.|kaševar| kaševar, -an, -ad; -uun, -uud (OF)|кашевар|puuronkeittäjä|(Js) minun bratan kävel' l'esnuohe kaševaraks (OF)|мой двоюродный брат ходил на сплав леса кашеваром|minun serkkuni kävi puutavaran uitossa puuronkeittäjänä||||||
|s.|baidark|baidark, -an, -ad|байдарка|kajakka|||||||||
|s.|bajan|bajan, -an, -ad|баян|harmonikka|||||||||
herr|s.|bajar’|bajar’, -in, -id; -iin, -iid|барин (KTK), боярин|herra, pajari|||||||||
|v.|bajuttada|baju/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|убаюкивать|tuudittaa|||||||||
bačk|s.|bakk|bak, -an (KTK)|бак|nestesäiliö|||||||||
|s.|balalaik|balalaik, -an, -ad|балалайка|balaikka|||||||||
|s.|balet|balet, -an, -ad|балет|baletti|||||||||
|s.|balkon|balkon, -an, -ad|балкон|parveke|||||||||
|s.|baluiččij|baluičij, -an, -ad|шалун|telmijä, veitikka|||||||||
|s.|banan|banan, -an, -ad|банан|banaani|||||||||
|s.|band|band, -an, -ad|банда|rosvojoukko|||||||||
|s.|banderol’|banderol’, -in, -id; -iin, -iid|бандероль|postipaketti|||||||||
|s.|bandit|band’it, -an, -ad|бандит|bandiitti, rosvo|||||||||
puzu|s.|bank II|bank, -an, -ad|банка|purkki|||||||||
|s.|bant|bant, -an, -ad|бант|rusetti|||||||||
bapkad|s.|bapk|bapk, -an, -ad; -uun, -uud|бабка, сустав (надкопытный),  игральная кость|nilkkaluu (lehmän), papukkapeli|||||||||
bapk|s. mon.|bapkad|bapk/ad, -uun, -uud|бабки (игра)|papukkapeli|||||||||
|s.|baraban|baraban, -an, -ad|барабан|rumpu|||||||||
|v.|barabanida|baraban’i/da, -b, -i; -taze, -t'ihe|барабанить|rummuttaa|hüö baraban’itaze|они барабанят|he rummuttavat||||||
|s.|barak|barak, -an, -ad; -uun, -uud|барак|parakki|||||||||
|adv.|barbahaižil|barbhaažiil|на цыпочках|varpaisilla|||||||||
kisl'oi, suolhein|s.|barčoi|barčuu ~ barčuo ~ barčui, -n, -d|щавель|suolaheinä, suolahierakka|||||||||
|s.|bard|bard, -an, -ad|борода|parta|||||||||
bardikaz|a.|bardakaz|bardaka/z, -han, -st; -hiin, -hiid|бородатый|parrakas, partainen|||||||||
|s.|barhat|barhat, -an, -ad|бархат|sametti|||||||||
|s.|bariš|bar’iš, -an, -ad (KTK)|барыш|voitto, hyöty|||||||||
|s.|barkas|barkas, -an, -ad|баркас|parkaasi|||||||||
|s.|barometr|barometr, -an, -ad|барометр|ilmapuntari|||||||||
|s.|barrikad|bar’r’ikad, -an, -ad|баррикада|barrikadi|||||||||
|s.|barž|barž, -an, -ad|баржа|proomu, lotja|||||||||
|s.|baskedbol|baskedbol, -an, -ad|баскетбол|koripallo|||||||||
|s.|bašlik|bašl’ik, -an, -ad (KTK)|башлык|paslikka|||||||||
|s.|bassein|bas’s’ein, -an, -ad|бассейн|uima-allas|||||||||
|v.|zabastuida|zabastu/ida, -ib, -i; -itaze, -it'ihe|забастовать|alkaa lakkoilla|||||||||
|v.|bastuida|bastu/ida, -ib, -i; -itaze, -it'ihe|бастовать|lakkoilla, olla lakossa|häin ei bastuinu (KTK)|он не бастовал|hän ei ollut lakossa||||||
|s.|batareik|batar’eik, -an, -ad|батарейка|paristo|||||||||
|s.|baton|baton, -an, -ad|батон|patonki|||||||||
|s.|batrak|batrak, -an, -ad|батрак|renki|||||||||
bazar'|s.|bazar|bazar, -an, -ad|базар|tori, kauppatori|||||||||
bazar, torg|s.|bazar'|bazar', -in, -id|базар|tori, kauppatori|bazar'il kävel'iin, rahvahal tar'ičiin laul.|на базаре я ходила, людям предлагала|torilla kävelin, ihmisille tarjosin||||||
|s.|rahvaz||||bazar'il kävel'iin, rahvahal tar'ičiin laul.|на базаре я ходила, людям предлагала|torilla kävelin, ihmisille tarjosin||||||
|v. frekv.|kävelta||||bazar'il kävel'iin, rahvahal tar'ičiin laul.|на базаре я ходила, людям предлагала|torilla kävelin, ihmisille tarjosin||||||
|s.|begemot|begemot, -an, -ad|бегемот|virtahepo|||||||||
|s. mon.|begudid|begud’i/d, -in, -id|бигуди|papiljotit|||||||||
|s.|belet|bel’et (KTK) ~ bil’et, -an, -ad (IL)|билет|lippu|||||||||
kaccuda, siästäda, vard'oita|v.|beregoita|ber'eguu/ta ~ ber'eguo/ta, -čob, -č ~ -čii; -taze, -t’ihe|беречь, сберечь|suojella, kaitsea; säästää|ber'eguokat hüviin! (PN) loits.|берегите хорошо!|kaitsekaa hyvin!||||||
|v.|bestoita|bestuota (KTK)|общаться на бесёде; беседовать|seurustella illanistujaisissa; keskustella|||||||||
|s.|Biblij|bibl’ij, -an, -ad|Библия|raamattu|||||||||
|s.|binokl’|binokl’|бинокль|kiikari|||||||||
side|s.|bint|bint, -an, -ad|бинт|side|||||||||
|v.|bintuida|bintu/ida, -ib, -i; -itaze, -it'ihe|бинтовать|sitoa (haava)|||||||||
|s.|binzin|binz’in, -an, -ad|бензин|bensiini|||||||||
|s.|biolog|biolog, -an, -ad|биолог|biologi|||||||||
|s.|birb|bir’b, -in, -id; -iin, -iid|дратва, просмоленная нитка|pikilanka|bir’b mustetaze|дратву делают чёрной|pikilanka mustataan||||||
Birboi|s. yhd.|Birboinpühäpäiv|birbuun- (OFMa) ~ bir'buom/pühäpäiv (LMS 17)|Вербное воскресенье|palmusunnuntai|||||||||
Birboinpühäpäiv|s.|Birboi|birbuu ~ birbuo, -n, -d|Вербное Воскресенье; верба|palmusunnuntai; pajunvarpu, virpa, pajunnorkko, pajunkissa|birbuun (OFMa) ~ bir'buom (LMS 17) pühäpäiv|Вербное воскресенье|palmusunnuntai||||||
|s.|Birboi||||en miä l'üö, birbuu l'üöb! (PN)|не я бью, а верба бьёт! (при похлопывании вербой)|en minä lyö, virpa lyö! (virpomissanat)||||||
|s.|Birboi||||(Pal) en miä l'ie, birbuu l'ieb! (IL)|не я бью, а верба бьёт! (при похлопывании вербой)|en minä lyö, virpa lyö! (virpomissanat)||||||
|s.|Birboi||||(Mets) en miä l'üü, birbuu l'üüb!|не я бью, а верба бьёт! (при похлопывании вербой)|en minä lyö, virpa lyö! (virpomissanat)||||||
|v.|lüödä||||en miä l'üö, birbuu l'üöb! (PN)|не я бью, а верба бьёт! (при похлопывании вербой)|en minä lyö, virpa lyö! (virpomissanat)||||||
|v.|lüödä||||(Pal) en miä l'ie, birbuu l'ieb! (IL)|не я бью, а верба бьёт! (при похлопывании вербой)|en minä lyö, virpa lyö! (virpomissanat)||||||
|v.|lüödä||||(Mets) en miä l'üü, birbuu l'üüb!|не я бью, а верба бьёт! (при похлопывании вербой)|en minä lyö, virpa lyö! (virpomissanat)||||||
|s.|birž|birž, -an, -ad|биржа|pörssi|||||||||
|s.|biskvit|biskvit, -an, -ad|бисквит|sokerikakku; kuivakakku|||||||||
|s.|biton|biton, -an, -ad|бидон|tonkk|||||||||
|s.|bitv|bitv, -an, -ad|битва|tappelu|||||||||
|s.|bl’uod|bl’uod, -an, -ad|блюдо, миска|lautanen (syvä); vati, malja|||||||||
|s.|blestind|bl’est’ind,-an, -ad|лоск|kiilto; loisto|||||||||
d'uodaine, bl'uudečk|s.|blücc|bl’ucc|блюдце|aluslautanen|||||||||
|s.|bohat|bohat, -an, -ad; -uun, -uud|богач|rikas mies, pohatta|||||||||
|a.|bohat|bohat, -an, -ad; -uun, -uud|богатый, зажиточный|rikas|nu, ked ol’d’ihe bohatembat, ka n’iil ol’ii muguon’e br’ičk|ну, кто были богаче, то у тех была такая бричка|no, ketkä olivat varakkaampia, niin niillä oli sellaiset kiesit||||||
|s.|bohatstv|bohatstv, -an, -ad; -uun, -uud|богатство|vauraus, rikkaus|||||||||
|s.|boju|boju, -n, -d; -in, -id ~ boi (KTK) |бой|taistelu|||||||||
saldat|s.|boič|boi/c ~ -cc (IL), -сan, -сad|боец|taistelija|||||||||
|a.|boikij|boikij,-an, -ad|удалой|reipas|||||||||
|adv. yhd.|bokaspiä|bokas/piä|сбоку|sivusta|||||||||
|s.|bombituz|bombitu/z, -sen, -st; -s’iin, -s’iid|бомбёжка|pommitus|||||||||
bombituz|s.|bomböšk|bomböšk, -an, -ad (IL)|бомбёжка|pommitus|||||||||
|s.|borččuj|borčuj,-an, -ad|борец|painija, kamppailija, taisteilija|||||||||
borčuida|v.|borčuida|borču/ida, -ib, -i; -itaze, -it'ihe ~ (Pal) borčuuda|бороться|painia, kamppailla, taisteilla|||||||||
borčuidakse|v. refl.|borčuidakse|borčui/dakse, -že, -he(ze)|бороться, побороться|kamppailla|ed ehtnu borčuidakse (KTK)|ты не успел побороться|et ehtinyt kamppailla||||||
hongik, kangaz, kangazmua, mändik|s.|boru|boru, -n, -d; -in, -id|бор|kangasmaa, männikkö|||||||||
bošaine, bošš|s.|boša|boša, -n, -d|баран, барашек|pässi|keričob bošan (KTK)|пострижёт барана|keritsee lampaan||||||
boša, bošakoine; bošš|s. dem.|bošaine|boša/an’e, -ažen, -št; -ažiin, -ažiid|барашек|pässi (pieni)|||||||||
boša|s.|bošš|bošš, bošin, boššid; bošiin, bošiid|баран|pässi|||||||||
briedidakse|v. refl.|breidakse|br’ei/dakse, -že, -he(ze)|бриться, побриться|ajaa partansa, ajattaa partaansa|||||||||
nadežida, pidada (vara), toivoda|v. refl.|nadeidakse|nadei/dakse, -že, -he(ze)|надеяться|luottaa|ala minuh(u) nadeide! laul.|на меня не надейся!|älä luota minuun!||||||
|v.|briezguida|br’iezgu/ida, -ib, -i; -itaze, -it'ihe|брезговать|inhota, hylkiä, halveksia|||||||||
|s. mon.|brizgad|brizg/ad, -uun, -uud|брызги|roiskeet, pärskeet|||||||||
|v.|brizgoita|brizguuta|брызгать|roiskuttaa, purskahtaa|||||||||
|v. mom.|briznida|brizn’i/da, -b, -i; -taze, -t’ihe|брызнуть|roiskia, pärskyttää|||||||||
|s.|bronhit|bronhit, -an, -ad|бронхит|keuhkoputkentulehdus|||||||||
|s.|brošk|brošk, -an, -ad|брошка|rintaneula, brošši|||||||||
|s.|bross|bro/ss, -san, -ssad|пшено, просо|hirssi|||||||||
kuadd’ad|s. mon.|br'uukad|br’uk/ad, -iin, -iid|брюки|housut, pukuhousut|||||||||
brükvad|s.|brükv|br’ukv, -an, -ad; -iin, -iid|брюква|lanttu|||||||||
brükv|s. mon.|brükvad|br’ukv/ad, -iin, -iid|брюквы|lantut|||||||||
|s.|buat’koi|buat’kuu, -n, -d|свёкор, отец мужа; тесть (IL)|appi|||||||||
|s.|bučč|bu/čč, -čin, -ččid; -čiin, -čiid|бочка|tynnyri|||||||||
|s. dem.|bučiine|buči/in’e, -ižen, -št; -ižiin, -ižiid|бочонок|pieni tynnyri|||||||||
|s.|büdžet|büd’žet, -an, -ad|бюджет|budjetti|||||||||
kiäräč|s.|buket|buket, -an, -ad; -uun, -uud|букет|kukkakimppu|||||||||
ass|s.|bukv|bukv, -an, -ad; -iin, -iid|буква|kirjain|||||||||
ABC-kird’|s.|bukvar’|bukvar’, -in, -id ~ -t; -iin, -iid|букварь|aapinen|||||||||
niegl|s.|bulafk|bulafk, -an, -ad; -uun, -uud|булавка|nuppineula|||||||||
|s.|bulk I|bulk, -an, -ad|булка|pulla, sämpylä|||||||||
bul'k|s. dem.|bul'kuine|(Pal) bul’k/uun’e, -uužen, -ušt|прыщ|finni|||||||||
|s.|bülleten’|bül’l’et’en’, -in, -id; -iin, -iid|бюллетень|tiedote. vaalilippu|||||||||
|s.|bumag|bumag, -an, -ad; -uun, -uud|бумага|paperi|bumag, kudambad ei pida|бумага, которая не нужна|tarpeeton paperi|kiärda bumagaha (IL)|завернуть в бумагу|kääriä paperiin|||
|a.|bumagahine|bumagahi/in’e, -ižen, -št; -ižiin, -ižiid|бумажный|paperinen|||||||||
|s.|bumazei|bumaz’ei|фланель|flanelli|||||||||
|v.|burišta|bur’i/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|бормотать, бурчать, ворчать, роптать; жужжать|mutista, kurista, nurista|||||||||
|s.|büro|büro, -n, -d|бюро|toimisto|||||||||
čiep, helmed, kaglniit’|s.|buru|buru, -n, -d; -in, -id|бормотание, ропот; жужжание|pärinä|||||||||
helmed, kaglniit’|s.|busad|bus/ad, -iin, -iid|бусы|helmet|||||||||
|s.|čahotk|čahotk, -an, -ad|чахотка|keuhkotauti; rintatauti|||||||||
|a.|čainoi|čain/ij, -uun, -uud|чайная (кафе)|teehuone|||||||||
|s.|čajunik|čain’ik, -an, -ad; -uun, -uud|чайник|teepannu|||||||||
valdivoita|v.|carstvuida|carstvu/ida, -ib, -i; -itaze, -it'ihe|царствовать|hallita, vallita|||||||||
vuit'|s.|čast’|čast’, -in, -id; -iin, -iid|часть|osa|||||||||
|s.|čehl|čehl, -an, -ad|чехол|kotelo; päällinen|||||||||
|s.|celindr|cel’indr, -an, -ad|цилиндр|syinteri|||||||||
|s.|cement|cement, -an, -ad; -uun, -uud|цемент|sementti|||||||||
matklauk|s.|čemodan|čemodan, -an, -ad|чемодан|matkalaukku|||||||||
kilbkond|s.|čerepah|čer’epah, -an, -ad; -uun, -uud|черепаха|kilpikonna|||||||||
|s.|čeresedelnik|čer’es’s’edel’n’ik, -an, -ad; -uun, -uud|чересседельник|sitolkkahihna|vedada čer’es’s’edel’n’ik (KTK)|подтянуть чересседельник|vetää sitolkkahihna||||||
|s.|čerešn’|čer’ešn’, -in, -id; -iin, -iid|черешня|linnunkirsikka|||||||||
|s.|cerkv|cerkv, -an, -ad; -uun, -uud|церковь|kirkko|||||||||
|s. mon.|černilad|čern’il/ad, -uun, -uud|чернила|muste|||||||||
|s.|černovik|černovik, -an, -ad; -uun, -uud|черновик|luonnos; luonnosvihko|||||||||
|s.|červonč|červonc, -an, -ad; -uun, -uud|червонец|kymmenruplanen|||||||||
|s.|česnok|česnok, -an, -ad|чеснок|valkosipuli|||||||||
čiep|s. dem.|čiepiine|čiepi/in’e, -ižen, -št; -ižiin, -ižiid|цепочка|ketju (pieni), kaulaketju|||||||||
|a. yhd.|čiepišolij|čiepiš/ol’ij|цепной|ketjussa oleva|||||||||
|s.|ciferblat|ciferblat, -an, -ad|циферблат|numerotaulu|||||||||
|s.|čigan|čigan ~ cigan, -an, -ad|цыган|romani, mustalainen|||||||||
|s. dem.|čiganaine|čigana/an'e ~ cigana/an'e, -ažen, -št; -ažiin, -ažiid|цыган; комар|mustalainen; hyttynen|||||||||
|s.|čiganan-|čiganan-|цыганский|romani-|||||||||
|s.|čigananarttel’|čiganan/art’el’|табор|romanileiri|||||||||
|s.|čiganih|čigan’ih, -an, -ad|цыганка|romaninainen|||||||||
|s.|čiganoidenarttel’|čiganuun/art’el’|табор|romanileiri|||||||||
|s.|čiilahaine|čihla/an’e ~ s'ihla/an'e (PN), -ažen, -št; -ažiin, -ažiid|крапива|nokkonen|||||||||
|v.|čikettada|čike/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|щебетать|visertää, lavertaa, livertää|l’induin’e čiketab (KTK)|птичка щебечет|lintunen visertää||||||
|s.|cikl|cikl, -an, -ad; -uun, -uud|цикл|jakso, sarja, sykli|||||||||
|s.|ciklon|ciklon, -an, -ad|циклон|sykloni, pyörremyrsky|||||||||
|v.|čilkaita|čilkaa/ta, -dab, -ž ~ -žii; -taze, -t’ihe (IL)|чокать|kilistää|||||||||
|s.|cink|cink, -an, -ad; -uun, -uud|цинк|sinkki|||||||||
|s.|čirčetand|čirčetand, -an, -ad|щебет|viserrys, liverrys|||||||||
|v.|čirišta|čir’i/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|щебетать|visertää; lavertaa; livertää|||||||||
|s.|cirk|cirk, -an, -ad; -uun, -uud|цирк|sirkus|||||||||
|v. mom.|čirknida|čirkn'i/da, -b, -i; -taze, -t’ihe|чиркнуть|raapaista, riipaista|||||||||
|v.|čirkoita|čirkuuta|чирикать|sirkuttaa, tirskuttaa, tirskua, sirittää|||||||||
lugu, päivlugu|s.|čisl|čisl, -an, -ad; -uun, -uud|число|päivämäärä, luku|||||||||
|s.|citat|citat, -an, -ad; -uun, -uud|цитата|sitaatti, lainaus|||||||||
člena|s.|člien|čl'ien, -an, -ad; -uun, -uud (IL)|член (организации)|jäsen|||||||||
člien|s.|člena|čl'en/a, -an, -ad, -ks; -uun, -uud (OF)|член (организации)|jäsen|čl'enaks pr'iimit'ihe 1927 vuoden (OF)|в члены приняли в 1927 году|jäseneksi hyväksyttiin vuonna 1927||||||
čoma|a. dem.|čomaine|čoma/an’e, -ažen, -št|красивенький|kaunis|l’iigan čomaan'e|чересчур красивенький|liian kaunis||||||
|adv.|čomas|čomas|красиво|kauniisti|čomas s’el’ginuze|разодетый, разодевшийся|kauniisti pukeutunut||||||
|v.|čomendoittada|čomenduu/tta, -tab, -t’ ~ -t’ii|украсить|koristaa, kaunistaa|||||||||
|s.|čomenduz|čomendu/z, -sen, -st; -s’iin, -s’iid|украшение|koristus|||||||||
|s.|čomuz|čomu/z, -sen, -st; -s’iin, -s’iid|красота, краса|kauneus|||||||||
|s.|čortan-|čortan-|чёртов|pirun-|||||||||
lugeda|v.|čotaida|čota/ada, -ab, -a; -ataze, -at’ihe|считать|laskea|||||||||
|s. yhd.|cuarinakk|cuar’in/akk|царица|tsaaritar|||||||||
|s. yhd.|cuarinpoig|cuar’im- ~ suar’im/poig|царевич|tsaarin poika|||||||||
|s. yhd.|cuarintütär|cuar’in- ~ suar’in/t’ütar|царевна|tsaarin tytär|||||||||
|s.|cuarstv|cuarstv, -an, -ad|царство|valtakunta|||||||||
|s.|čuašk|čuašk, -an, -ad|чашка|kuppi|panda čuašk|пославить чашку|panna kuppi||||||
|s.|čuasuidenkohendaj|čuasuin/kohendaj|часовщик|kelloseppä|||||||||
čuas|s. dem.|čuasuine|(Pal) čuas/uun’e, -uužen, -ušt|часик|tunti (pieni)|||||||||
kuva, lindunkuva, tedrenkuva|s.|čučal|čučal; mon. -uun ~ -uon, -uud ~ -uod|чучело|houkutinlintu, linnunkuva|(Js) ištuihe sinna čučaluol'e (OF)|засел туда за чучела|asettui sinne linnunkuville||||||
